beerName,description
"Heady Topper","Beer is a light golden orange color and very hazy. A massive 3 finger head settles down to about one finger after a few minutes, very good head retentention. Aromas of dank pine hit you up front followed by citrus, grapefruit, and esters. The taste is a hop bomb of pine and bitterness with subtle notes of grapefruit. There are also biscuit notes from the malt as the beer warms up. The beer is carbonated very dry giving it a very hop forward character. Overall a world class beer."
"Heady Topper","No ""canned on"" or ""enjoy by"" date, but the pack was picked up from the brewery about a week ago, so pretty effing fresh, and poured into the only glass available, a narrow cylindrical pint glass at my inn. Pours a suuuper hazy bright golden color with about an inch or so of stable white head and leaves hella lacing all the way down. Smell is just a bit faint but is exactly what I want from a NE IPA. Loads of pine resin and grapefruit zest/juice. Taste is on point. Balanced, but still rather in-your-face dank resinous character, the same citrusy pop but way more juicy and bold on the palate than on the nose. As you swallow, the pine character builds up even more and lingers on the tongue for ages. Medium body with medium carbonation, all adding to the surprisingly balanced character of this beer. Overall, it may deserve all the hype it gets, but there is a reason this is so sought after. This stuff is bangin'! Super hoppy and yet still finds its proper balance, at least as much balance as an IIPA can really have. Feeling lucky to have gotten this. Sidenote- is highly recommend not drinking straight from the can, regardless of what it says. I did half in the can and half in a glass, and dammit, the glass really does a lot for the aroma. Just don't worry about the floaty bits. That's just character."
"Heady Topper","Drinking first half from the can"
"Heady Topper","I think I may have had an old can of this....Got a very malty backbone and a weird sweetness"
"Heady Topper","Very smooth and flavorful beer."
"Heady Topper","still my favorite beer despite trying all the other contenders here in New England (i.e. Julius, Sip of Sunshine, etc.).  the last batch I picked up at the brewery is just perfect.  however, I seemed to notice that within 4 weeks of canning it seems to be the best."
"Heady Topper","It's the gold standard.  You may try others and think they are better.  But you'll always come back and say this is great."
"Heady Topper","This beer just doesn't live up to the hype for me.  An exceptional beer that I'd always be happy to drink but leaves me feeling underwhelmed.  For me it doesn't stand up to what Tree House and Trillium are doing.  Probably just my personal taste, everybody seems to love it."
"Heady Topper","I just had the chance to have this stand alone beer for the first time this weekend and let me tell you it has all the characturistics of a World champion... oh thats right it it won four years in a row !!! I drank it out of the can as directed so as for color I can only figure it is great in color... to go along with the rest of my review. The taste is superb from the beginning to the end. The choice of hops is top notch with a smooth  mouth feel with several different fruit notes with a great finish. It is a beer to sit, relax, and enjoy, but tough to do. Since you want to keep going back for more mouth euphoria."
"Heady Topper","I drank this beer from the can as it indicates to do on the label. Hits all the marks for me. It has a great hoppy flavor and aroma. As one reviewer mentioned, it is a hop bomb in your mouth. It goes down very smoothly. Perfect amount of carbonation and just enough bite at the end. If you get the chance, read the can, it is pretty funny."
"Heady Topper","cloud orange pour ( N.E. IPA normal) with  decent amount of fuzzy, white head"
"Heady Topper","Poured from a 16 oz can into a pint glass."
"Heady Topper","Probably the best beer I've ever had, and I'm not one to over hype IPAs. It's everything you've heard and more."
"Heady Topper","Bright floral, first IPA I every had that was a super hoppy resin IPA"
"Heady Topper","One of the best double Ipa's I have ever tasted."
"Heady Topper","To the eye. A beautiful blonde color pale somewhat orange but hardly. Beautiful thick and aerated sparkling collar very great remarkable effervescence in this following to the observation of the beautiful big bubbles rising quickly towards the top of the glass. Color rather cloudy but not completely opaque."
"Heady Topper","Look - Pours a hazy honey color, two fingers of bone white head. Great retention, lacing all the way down the glass. Worthy of a picture."
"Heady Topper",OVERRATED
"Heady Topper","The beer that got me into my very expensive hobby."
"Heady Topper",Great
"Heady Topper","drank straight from the can so look is from memory as I've had this beer several times and look varies depending on age. I'm guessing this can is 6-8 weeks old."
"Heady Topper","Awesome, awesome beer from a great brewer.  Everything from Alchemist is terrific, but this one is special.  Drink it right from the can, like the can suggests, and you won't be disappointed."
"Heady Topper","Can definitely testify to the validity of this ale. A friend of mine was extremely emphatic about it and got some for me after visiting Vermont. Definitely one one of the best I've ever had"
"Heady Topper","Had a customer from Vermont at the store I work at in Rhode Island bring this in for me.  I'm a big fan of citrusy IPA's."
"Heady Topper","This beer is more than just a beer but an event HAHA.  The color is amazing bright hazy yellow.  The flavors on the pallet are grapefruit, orange peel, lemon.  Lots of citrus, with a ton of bitter flavor."
"Heady Topper","This is an overall consensus from having drank easily over a hundred Headys since the canning inception. We have a saying around here, if there's nothing exciting on tap: ""Fine, I'll bitch out and have a Heady."" I've had it on draft locally as well as sampled from the old cannery and the new brewery. I've had a year old Heady that was crystal clear and absolutely spectacular. Unless it's poorly kept or somehow oxidized, it never sucks. The recipe has changed over time but the enjoyment never fades!"
"Heady Topper","Poured a bit into the glass but drank this from the can as directed. A hazy bright yellow-golden color with a resilient white head. Big aromas of grapefruit, pine, tangerines. Huge hops on the palate, similar to the nose. A nice bitter mix of the citrus and the resiny, piney earth tones. Medium-bodied and perfectly carbed. Awesome beer."
"Heady Topper","Amazing beer."
"Heady Topper","Drank from the can. Poured a bit into a tulip to see the color. "
"Heady Topper","Bought this on a trip, was flying home, wish I would have drove.  I wish I could have a case shipped to Louisiana."
"Heady Topper","I have had the pleasure of drinking this former #1 several years in a row now. 2017 now and it still lives up to the hype every year. Gave it a 5 on look cause I never have poured it out to look at it, so I rated the awesome can art. I will be awaiting next year's tasting ."
"Heady Topper","This legendary eastern ipa is what inspired my signing up to ba to launch this bashing..err review.   I like Maine beers, I like knee deep beers, i like mosaic hops.  Honestly I was ecstatic when my buddy brought home a plethora of alchemist beers.  Focal banger should be right up my alley but its so over the top i have to blend it but when i do i still enjoy big mosaic hops.  Heady is just foul.  I realize my opinion is an outlier but when I tell you I struggled to finish a can (ipa drinking wife included) Im very serious.  I had it on 2 occasions to cement my feelings on it and they are this beer is soooooooooooooooo overrated I'm in awe of how lousy it was for me, really nothing redeeming to say other than at 8%abv if you can hold your  nose and slam a few of these i guess you'll be in a happy place but i can give you myriad other options to better get you there."
"Heady Topper",**
"Heady Topper","I have been to the mountain top"
"Heady Topper","A fantastic beer and a rare find. The beer lives up to its reputation as being one of the best around. For a tousle IPA, it has a subtle hoppy finish with a very complicated taste. Definitely drink from the can, its intriguing and complex."
"Heady Topper","This beer has its reputation for a reason. Glad I was finally able to score 1!"
"Heady Topper","The anticipation was enormous, the taste was pretty good. A friend had to take two work days off to drive to Vermont to pick up two cans for me. It was pretty good, but so are others right here in Ontario, CAN."
"Heady Topper","Outstanding IPA, very tropical, grapefruit, orange and pineapple. It's juicy and pithy with tons of pine. The bitter finish lingers for a bit longer than I'd like, but overall I can't complain about this beer. It's absolutely world class."
"Heady Topper","Really just a perfect beer. Enjoyed first in Burlington at a Nepalese restaurant and recently thanks to a generous friend who sent a 4 pack of this and Focal. Really just a standout beer."
"Heady Topper","Look: Orange, hazy, with a two inch head."
"Heady Topper","Poured out to share with a friend. Cloudy golden yellow color with a small white head. It smelled of tropical fruits and caramel sweetness. Good balance of bitter and sweet."
"Heady Topper","Can of course"
"Heady Topper","1 PINT can"
"Heady Topper","I base my taste of other beer around this one."
"Heady Topper","This is the  sweetest nectar to touch my lips with the exception of my beautiful wifes love juice.  I have 6 more of the nectar of the gods that I will enjoy only on the most special occasions."
"Heady Topper","It was everything I heard"
"Heady Topper","highly overrated...try JVP (Joseph Vincent Paterno) instead of this"
"Heady Topper","having this on tap at the alchemist reopened my eyes at how good this beer is"
"Heady Topper","Thanks for the trade Ross!  Color is a vibrant yellow-straw with minimal haze....I had to pour a few ounces into a tasting glass despite the command to drink from the can. Didn't pour enough to get any discernible head.  The smell is outrageous with lemon, orange, hop resin...it really is a delightful smell.  The taste is very juicy and it doesn't get washed out by the carbonation or hops. I am getting an orange rind and piney dry finish.  A medium-full body with a soft mouth-feel, again the carbonation is present but not overpowering, this is particularly applicable when consumed from the can.  "
"Heady Topper","Had this on the Jersey Shire out of the can as suggested on the label. Very tasty. Lived up to expectations, which were on the high end. Most notable for that complex cloudy almost resinous, multidimensional flavor and look."
"Heady Topper","Drank from can as intended"
"Heady Topper","Probably the most overrated beer I've ever had. (Have not had Pliny yet)"
"Heady Topper","I poured a nice tulip half way and left some head. Great golden color. A very light hop in my opinion. Nothing stands out and smacks you in the face - that's good. A nice balance. Some fruit notes but nothing that stands out or leaves a bad or bitter taste."
"Heady Topper","Look: Poured approx. 1 to 2 oz into tulip glass for look purposes only, the rest drank from the can. Pours a light gold/yellow color. Translucent, and moderately cloudy. Leaves some small and big bubbles with a small amount of white head. Leaves a characteristic lacing around the glass."
"Heady Topper","Drove to the new Alchemist and purchased the max of each beer. I've had Heady-Topper before, and was very excited to taste the joys of my 12 hour round trip drive. "
"Heady Topper","So I tried this amazing beer for the first time... holy mother of all beers was t amazing I had Lord Hobos consulation prize at my all time fav. but heady & topper well, tops it lol I'm in love all over again."
"Heady Topper","Nosed f-Ed this guy for awhile. Loved it."
"Heady Topper","It goes without saying that this is an exceptional beer. Appearance is a cloudy gold (thank you for not turning this into a murky swamp beer like some of your peers), small and taste continues to be a tidal wave of perfectly balanced hops."
"Heady Topper","I must be a terrible man, but I don't drink this beer from the can.   I can't say anything different or add much to the reviews below, but this may be the perfect IPA, and deserves to be enjoyed with every sense."
"Heady Topper","A: From the can, it looks like a can. In the glass, it pours a beautiful, semi-opaque, sunshiney gold with a fluffy white, rocky head that laces well."
"Heady Topper","It's a truly awesome beer."
"Heady Topper","Needless to say...Alchemist lived up to the reputation. This was a the first time experiencing Heady. Tried it in a glass at first in the brewery. Then drank another the next day in the can as it said to. It was rather smooth to be honest with you. Flavors of citrus was well balanced with the hoppy taste. Overall very happy I was able to get my hands on some."
"Heady Topper","My favorite beer so far, its delicious"
"Heady Topper","Pouring Heady Topper from the ""Drink from the Can"" pint can reveals a hazy, fiery orange liquid with a foamy, tightly laced, white head. Head foams up quickly, peaking at 3 fingers with an aggressive start and conservative finish. Retention on the head is great, lasting even through a half dozen sips. Lacing bubbles around the glass, with great retention. Aroma is steeped in layers of citrus, with notes of orange, lemon zest, and papaya. Biscuit malts bunch up just behind the hops to form an assertive, but refreshingly delicate hoppy aroma. Flavor profile opens with a smooth crescendo of citrus, orange, lemon zest, and biscuit malts. A hoppy start flexes and reshapes itself into a malty finish - with a little resin hop at the end to stick to the palate. Mouth feel is smooth and somewhat filling with a medium thickness. Feel certainly has a presence, but is still light enough to be enjoyed swiftly on a blisteringly hot day. Overall, a sublime IPA with plenty of flavorful body, and presence. The lack of a bitter stinging finish makes this an easy beer to enjoy for folks both new to IPAs and old. "
"Heady Topper","I have one  a few times a year, always great beer and each time I had a different experience."
"Heady Topper","Undoubtedly a very good DIPA; however, it did not live up to the hype as one of the best beers in the U.S. for me.  In my opinion, it is not even the best beer by The Alchemist (an excellent brewer)."
"Heady Topper","New England DIPA. 8% ABV."
"Heady Topper","LOVE IT"
"Heady Topper","Poured to a tulip glass."
"Heady Topper","Ah, heady topper. Had several times but this is my first time writing a review. Ignored the advice on the can, of course, and poured into a tulip."
"Heady Topper","Have to drink it fresh as the quality slips after about a week."
"Heady Topper","Mostly drank out of can as instructed. Pours hazy gold with a medium head that is foamy doesn't last"
"Heady Topper","Holy sweet mother of pearl that's exceptional. It's a bigger beer than Focal Banger? I get so... 7% vs 8%."
"Heady Topper","13,005th person to tell you this beer is amazing. A must have double IPA."
"Heady Topper","Will always be a favorite."
"Heady Topper","Honestly, best beer I've ever had and I didn't even have it fresh. My aunt who lives in Ireland bought some in the states and she saved some for me when I went and visited her in Ireland."
"Heady Topper","Simply one of the best! My number one of any style beer. Not even going to try and describe it you just have to try it! Just drink it fresh it does loose a little something over time. Best right off the truck or go to the brewery"
"Heady Topper","After a great  family day, of finally skiing with my southern born family, due to military life. I asked for a plain beer...then a great buddy said I had to try this one. I declined, stating I just need any beer. He refused, presenting me the Heady Topper. I was blown away.  Taste, Smell, Sight,...Best Ever. Been around the world, drank lots of famous beers. Amazed at the taste of Heady Topper. Only problem, I am not the only one who agrees and it's very hard to get. Impossible down south."
"Heady Topper","One of my favs"
"Heady Topper","I'm not one for IPAs, so I had to check my bias, but I can see why Heady Topper is hyped like it is. I first drank it straight from the can as recommended, ice cold at a restaurant in Burlington. It goes down unbelievably smooth for a Double IPA, and it finishes just as clean. The flavor is filled to the brim with high quality hops. Not my cup of tea, but for the IPA freak, it's worth the trip to cozy Vermont."
"Heady Topper","L-clear, often with little floaters"
"Heady Topper","I have been digging NE IPAs since they've been so big lately in SoCal and decided to spend a wad getting this (fresh) out west, it was way worth it. I also ordered Crushed and Focal Banger as part of the haul, but this is the original so he goes first. Poured the first HT into a cold tulip glass without swirling to peep the glory then the second out of the can. The can experience was far better, I actually preferred it colder. Nice light yellow hazy honey color with a finger high head and pretty lacing which coated the glass even after it was gone."
"Heady Topper","Fortunate enough to bring in the new year with two cans.  Neighbor had a friend bring some down in September...keeping the cans ice cold the entire way to Maryland.  I was forced to drink it from the can...per the instructions and the insistence of my neighbor, so the look and smell are both 5.  Taste was very good, but didn't blow me away.  The mouthfeel was very good for a double IPA and I never did want to stop drinking it.  I want it more now that I can't easily get it here in Maryland.  Will be road tripping to Vermont very soon.  I want to try it poured into a cold pint glass."
"Heady Topper","Poured from can into snifter (couldn't quite follow the can rules). Hazy straw color with fluffy white head that had excellent retention and lacing. Scent was grapefruit, lemon, a touch of mango, and very piny. The flavor followed the scent with a high bitterness that was balanced well with the smooth sweet malt. Quite a resinous taste/feel on this one. The mouthfeel made this beer stand out. I've only had a few beers that match this mouthfeel on an IPA, almost seems to coat your mouth with smoothness while maintaining a crispness from the carbonation. Great beer!"
"Heady Topper","I'm guessing the few bad reviews are the result of someone getting an old can or one that got too warm.  I generally do not like IPA'so that are over 7% ABV - too many hops to mask the sweetness. This ale is so well balanced and not at all heavy. My son who goes to school in Vermont brought me a case for Christmas. The best gift I've ever gotten. Truly lives up to the hype.  It is extremely important that you do not let this ale get warm, that will totally funk it ul."
"Heady Topper","First time trying to coveted brew. It was about 8 days old."
"Heady Topper","First time! Poured into IPA glass.  It pours a lovely golden-amber color with two full fingers of fluffy, egg-white head and lacing with excellent retention.  I don't understand why so many claim it has to be drunk from the can because of its appearance.  It's a very attractive pour.  It smells of bready malt, grass, pine needles, lemon peel, and grapefruit. Wow, what a perfect balance of malt, fruit, and hops.  The first taste is the somewhat sweet, bready malt.  It's no fruit bomb; the citrus is subtle, delicate.  There are touches of tropical sweetness and vanilla, particularly as the glass warms a little.  Then the hops explode, bitter and biting.  The after taste is bitter - in a good way.  This ale it medium-bodied, with pleasant carbonation, and a reasonable 8% ABV that allows for easy drinking.  You can down a couple of these.  Overall, it's an exquisite DIPA and merits its lofty ratings.  I'm glad I was finally able to experience it.  Road trip to Vermont?"
"Heady Topper","One of my favorites.  Wish I could get it more often."
"Heady Topper","Damn. Finally got my hands on this and I can honestly say it lives up to the hype."
"Heady Topper","Creature of habit, I opened it and immediately poured it into  tulip glass.  Sorry bro...."
"Heady Topper","While instructed to drink from the can, most of the review (besides the first few smells and sips) was poured into my Pliny the Elder pint glass (ironic, I know). "
"Heady Topper","One of my favorite beers!"
"Heady Topper","16 oz can poured into a tulip for review purposes. Only available in Vermont, acquired through a trade. "
"Heady Topper","Good beer, I was expecting more."
"Heady Topper","Can't rate the look since it's canned. I actually expected more of a pungent kick from such an esteemed IPA but the overall character and mouth feel is very tame. Subtle dryness with moderate grassy/pine notes. Fairly light on the carbonation as well. Overall, a fantastic beer but a little underwhelming I must say. On par with the Jacks Abby Kiwi Rising I tried last week which isn't nearly as exclusive."
"Heady Topper","Heady Topper has a hoppy smell with a hazy look.  This tastes like a mouthful of hops and the feeling is a great one.  Overall, I feel like this is a drink you can't pass on."
"Heady Topper","Finally acquired a couple cans in a trade. It was quite tasty!  Had the first can from a glass, beautiful hazy orange gold, nice hoppy aroma, citrusy piney taste but a little weaker than expected. Second can from the can and definitely much better, taste lingered on the palate, very smooth texture. A very good brew!"
"Heady Topper","From a 16oz can at a Burlington restaurant. I had to ask for a glass to look at it, which received a scornful look from the waitress. They do take ""Drink from the Can"" seriously."
"Heady Topper","Seriously amazing.  I was surprised at how smooth and drinkable this beer truly was. I will absolutely seek out again. One thing I did pick up was a faint cucumber taste, but holy cow this thing is amazing."
"Heady Topper","Pours a hazy golden yellow with a tinge towards the red spectrum with a good amount of things suspended in the beer.  The smell is rather complex and smells like tropical fruit punch.  Notes of papaya and mango with just a hint of peach.  The taste does not entirely follow the smell but is not nearly as complex.  Tropical fruit juice in the middle but finishes with mango.  The back end is a tad too bitter for my tastes but most would enjoy it.  feel is medium bodied.  Overall this is a really good beer that is a tad too bitter for my own tastes."
"Heady Topper",11/18/16
"Heady Topper","Excellent beer with a nice finish. Taste sits in your mouth with a nice silky feeling long after the last gulp."
"Heady Topper","Was very excited to try this benchmark IPA and am not at all disappointed. It is delicious."
"Heady Topper","Speaks for itself"
"Heady Topper","First had 8/30/13 at a friends house.  One of many, and hopefully many more.  The water in Vermont plays a huge role in all of these fantastic beers that come out of that area.  Or it could be something else, either way, I love when friends go up and bring me some home."
"Heady Topper","As good as advertised. Amazing taste lingers on your toungue. Great aroma upon pour into pint glass.  I actually wasn't blown away by the look but still very pleasant. Lighter than I expected. Great feel and aftertaste. Plus beer as I expected."
"Heady Topper","Finally. A beautiful looking unfiltered beer. The nose was more tame than I expected. Great taste. Super well balanced   Silky smooth feel. A very solid beer. But not the best. Maybe the hype was too much."
"Heady Topper","Bit underwhelming.... maybe too much hype, maybe my expectations were to high, or maybe there are just a lot of other great IPAs out there these days.  It's a great beer, but mostly just a tick off the list."
"Heady Topper","Super excited to try the venerable Heady Topper! I did not drink from the can but I did pour it without rolling the can so as not to disturb the sediment. "
"Heady Topper","Enjoyed it.....it's probably not worth the hype......but it's very very good."
"Heady Topper","Finally tried it.  Had (of course) in the can, though I poured an ounce or two into a teku to get the appearance.  Poured a hazy yellow (thicker, and hazier than most DIPAs).  Pine and citrus on the nose, though not to the incredible extreme of The Crusher.  Palate is tremendously dank, bitter hops.  Pine is more present than citrus, though both certainly play a role in the palate here.  Solid medium mouthfeel.  An exceptional DIPA, but in the world of extremely good IPAs, this one is not so singular as the hype would imply.  Tremendous?  Of course.  Best in its class?  Sadly not."
"Heady Topper","Decent beer, if you're into an IPA.  A little too hoppy for me however."
"Heady Topper","Appearance: yellow-golden with a white head with good retention that fades to a thin lacing. "
"Heady Topper","I have drank almost everything from #1 to #25 and others on the list. I drive to VT every so often to pick up 2 cases and drive back to MA. Why? Simply said, this is the best beer (DIPA) in America. I also drive to the TH and  drink all their beers too. I have not had Pliney The Younger so I can't comment on that, but it's only in a keg form and can't get the CA to try it. I have had Pliney the Elder though. Heady, as it's affectionately called, when fresh, far exceeds anything in its class. I have had many of the Tree house beers, and they are really good and deserve spots on the list but no IPA or DIPA from TH is as good as Heady. King Julius is close. I have both Heady and TH beers in my frig at all times and enjoy them all. I wont comment on what I taste or how it pours because it's different for most people. Find someone that has fresh heady and trade with them and you will see why a large majority of people think it's the best they ever had."
"Heady Topper","Can Date: purchased 10/14/16"
"Heady Topper","So I did half of Focal from a Can and half from glass, as a result I did the whole of Heady from the Can."
"Heady Topper","Pours a five finger white head that fades slowly to a ring leaving a good lace. Hazy light amber color. Good carbonation and medium bodied.  Pine hop nose and flavor is pine and grapefruit, occasional hints of caramel. Lingering pine hop bitterness. With most raters saying this DIPA is the best I expected more. Dogfish 90 minute is better. $15.03 for a 4-pak of 16oz cans from Montpelier Discount Beverage Montpelier, VT."
"Heady Topper","Crawl into the can!"
"Heady Topper","Acquired in a trade.  I was told the canned date was 10/8.  I have a hard time believing this with the lack of hop aroma and taste.  I could speculate what it'd be like fresh as I've had many fresh IPAs and IPAs past their prime.  Rating this off of the told canned date.  Doesn't hold up well at all if the canned date is 10/8.  Smell and taste of fresh hop aromas was non-existent.  Malty flavor, tasted like an old IPA."
"Heady Topper","So, when a friend offered to sell me 12 fresh cans at face price, I had to jump on it.  I was surprised to see the disclaimer on the can that encouraged one to drink it directly from the can.  I'm actually a fan of that practice.  Overall, this beer is very well-balanced.  It's excellent.  I would drink it again.  I probably wouldn't drive 12 hours to get it though.  Not sure I understand how this is #6 on the all time list.  "
"Heady Topper","Unknown vintage; drank 2/7/15 @ California Split. "
